Name,Group,y,x
Akaa,6,61.16714598,23.86588876
Alajärvi,14,63.00127325,23.81752281
Alavieska,17,64.16664625,24.30721348
Alavus,14,62.586162,23.61660059
Asikkala,7,61.17251236,25.54914248
Askola,1,60.53021072,25.59888061
Aura,2,60.64659185,22.58899196
Brändö,21,60.41266234,21.04371379
Eckerö,21,60.21361205,19.61313866
Enonkoski,10,62.08926032,28.9169046
Enontekiö,19,68.38554976,23.63530763
Espoo,1,60.20637637,24.65672855
Eura,4,61.13000376,22.13593176
Eurajoki,4,61.20354724,21.73409618
Evijärvi,14,63.36690195,23.47395314
Finström,21,60.23226279,19.99238319
Forssa,5,60.81479135,23.6164073
Föglö,21,60.01128865,20.42548127
Geta,21,60.37427204,19.84577387
Haapajärvi,17,63.74851401,25.31957349
Haapavesi,17,64.13614596,25.36440726
Hailuoto,17,65.00859634,24.71112636
Halsua,16,63.46014502,24.17159009
Hamina,8,60.56968815,27.19790058
Hammarland,21,60.21834462,19.73979193
Hankasalmi,13,62.39030115,26.43619137
Hanko,1,59.82496853,22.96684083
Harjavalta,4,61.31370193,22.14119935
Hartola,7,61.58353323,26.01944571
Hattula,5,61.05593794,24.37368881
Hausjärvi,5,60.78835209,25.02474319
Heinola,7,61.2052356,26.03484125
Heinävesi,12,62.42598529,28.6294326
Helsinki,1,60.16664074,24.9435368
Hirvensalmi,10,61.64327965,26.77736901
Hollola,7,60.9886065,25.51281347
Huittinen,4,61.17754567,22.69944393
Humppila,5,60.92200817,23.36707202
Hyrynsalmi,18,64.67725997,28.49070507
Hyvinkää,1,60.63101689,24.86112432
Hämeenkyrö,6,61.64092246,23.19571486
Hämeenlinna,5,60.99617432,24.46442499
Ii,17,65.32261134,25.37498379
Iisalmi,11,63.55968862,27.18698367
Iitti,7,60.89080514,26.33869215
Ikaalinen,6,61.76825112,23.07459093
Ilmajoki,14,62.73354132,22.57747553
Ilomantsi,12,62.67285085,30.92679732
Imatra,9,61.17152738,28.76922456
Inari,19,68.90546979,27.01760221
