id,name_fi,name_se,group,y,x,population,neighbours
020,Akaa,Ackas,6,61.16714598,23.86588876,16467,922;887;908;109;418
005,Alajärvi,Alajärvi,14,63.00127325,23.81752281,9311,759;989;312;584;010;408;403;934;300
009,Alavieska,Alavieska,17,64.16664625,24.30721348,2491,977;483;563;208
010,Alavus,Alavo,14,62.586162,23.61660059,11197,989;005;936;743;300
016,Asikkala,Asikkala,7,61.17251236,25.54914248,8033,098;398;111;781;576;109
018,Askola,Askola,1,60.53021072,25.59888061,4847,638;611;505;616;504
019,Aura,Aura,2,60.64659185,22.58899196,3955,853;636;423
035,Brändö,Brändö,21,60.41266234,21.04371379,449,766;304;295;445
043,Eckerö,Eckerö,21,60.21361205,19.61313866,933,076
046,Enonkoski,Enonkoski,10,62.08926032,28.9169046,1362,740
047,Enontekiö,Enontekis,19,68.38554976,23.63530763,1789,261;148;498
049,Espoo,Esbo,1,60.20637637,24.65672855,297132,257;927;543;235;092;091
050,Eura,Eura,4,61.13000376,22.13593176,11417,684;051;400;531;503;636;783;079;271
051,Eurajoki,Euraåminne,4,61.20354724,21.73409618,9334,684;531;050;051
052,Evijärvi,Evijärvi,14,63.36690195,23.47395314,2404,599;440;233;403;924;288
060,Finström,Finström,21,60.23226279,19.99238319,2638,076;170;771;065;736
061,Forssa,Forssa,5,60.81479135,23.6164073,16573,834;103;887;169
062,Föglö,Föglö,21,60.01128865,20.42548127,501,766;417;438;941;318
065,Geta,Geta,21,60.37427204,19.84577387,505,076;060;736
069,Haapajärvi,Haapajärvi,17,63.74851401,25.31957349,6802,601;691;626;746;317;071;535
071,Haapavesi,Haapavesi,17,64.13614596,25.36440726,6613,977;678;317;563;535;069;791
072,Hailuoto,Karlö,17,65.00859634,24.71112636,950,564;436;748
074,Halsua,Halso,16,63.46014502,24.17159009,1083,272;584;421;924;236
075,Hamina,Fredrikshamn,8,60.56968815,27.19790058,19702,285;935;489;286
076,Hammarland,Hammarland,21,60.21834462,19.73979193,1619,043;170;065;060
077,Hankasalmi,Hankasalmi,13,62.39030115,26.43619137,4683,213;850;686;593;410;275
078,Hanko,Hangö,1,59.82496853,22.96684083,7979,322;710
079,Harjavalta,Harjavalta,4,61.31370193,22.14119935,6785,531;886;050;271
081,Hartola,Gustav Adolfs,7,61.58353323,26.01944571,2621,111;435;781;588;172
082,Hattula,Hattula,5,61.05593794,24.37368881,9405,908;635;109
086,Hausjärvi,Hausjärvi,5,60.78835209,25.02474319,8143,505;316;098;106;165;109;694
111,Heinola,Heinola,7,61.2052356,26.03484125,18344,142;398;016;781;507;081;588;286
090,Heinävesi,Heinävesi,12,62.42598529,28.6294326,3136,309;426;740;681;420;857;915
091,Helsinki,Helsingfors,1,60.16664074,24.9435368,658457,049;753;092
097,Hirvensalmi,Hirvensalmi,10,61.64327965,26.77736901,2131,507;588;172;491;213
098,Hollola,Hollola,7,60.9886065,25.51281347,23090,086;316;560;398;016;109
102,Huittinen,Vittis,4,61.17754567,22.69944393,9870,619;783;271;430;790
103,Humppila,Humppila,5,60.92200817,23.36707202,2166,981;619;887;169;430;061
105,Hyrynsalmi,Hyrynsalmi,18,64.67725997,28.49070507,2139,777;290;620;697
106,Hyvinkää,Hyvinge,1,60.63101689,24.86112432,46880,505;086;433;927;543;858;694
108,Hämeenkyrö,Tavastkyro,6,61.64092246,23.19571486,10337,536;980;143;790
109,Hämeenlinna,Tavastehus,5,60.99617432,24.46442499,67971,086;433;834;098;016;576;887;908;165;635;082;020
139,Ii,Ijo,17,65.32261134,25.37498379,9912,564;751;683;615
140,Iisalmi,Idensalmi,11,63.55968862,27.18698367,20958,595;762;925;402;263;297
142,Iitti,Itis,7,60.89080514,26.33869215,6559,560;407;398;111;286
143,Ikaalinen,Ikalis,6,61.76825112,23.07459093,6877,581;108;980;214;181;790
145,Ilmajoki,Ilmola,14,62.73354132,22.57747553,12366,399;301;152;743
146,Ilomantsi,Ilomants,12,62.67285085,30.92679732,4643,422;167
153,Imatra,Imatra,9,61.17152738,28.76922456,25655,700;405
148,Inari,Enare,19,68.90546979,27.01760221,7008,758;261;890;047
149,Inkoo,Ingå,1,60.04466408,24.00657466,5353,257;444;755;710
151,Isojoki,Storå,14,62.11513714,21.95847847,1891,484;747;287;214;218;232
152,Isokyrö,Storkyro,14,63.00010301,22.31821143,4480,399;145;905;233;743;946
165,Janakkala,Janakkala,5,60.92184606,24.64770658,16340,086;433;109;694
167,Joensuu,Joensuu,12,62.60207923,29.75967928,77261,426;707;848;276;146;422
169,Jokioinen,Jockis,5,60.80516281,23.49008521,5046,761;834;103;981;061
170,Jomala,Jomala,21,60.15043419,19.95256632,5512,076;417;771;060;478
171,Joroinen,Jorois,11,62.17950608,27.82642181,4624,178;681;420;593;915
172,Joutsa,Joutsa,13,61.74027126,26.11098126,4263,435;081;588;097;213;850;179
176,Juuka,Juga,12,63.23985977,29.25432582,4444,204;687;297;607;541;276;422
177,Juupajoki,Juupajoki,6,61.79791326,24.36997415,1786,182;702;562;508
178,Juva,Juva,10,61.8974726,27.85733565,5887,623;491;768;171;681;593
179,Jyväskylä,Jyväskylä,13,62.24167768,25.74949812,144473,435;172;850;182;892;410;592;500
181,Jämijärvi,Jämijärvi,4,61.82022169,22.6910246,1685,581;143;214
182,Jämsä,Jämsä,13,61.86425665,25.19023147,19767,435;291;249;592;179;177;562;508
186,Järvenpää,Träskända,1,60.48109839,25.10074741,45226,753;505;858
202,Kaarina,S:t Karins,2,60.40762085,22.37100491,35497,853;738;423;577;445
204,Kaavi,Kaavi,11,62.97497672,28.4808381,2778,309;857;297;176;607
205,Kajaani,Kajana,18,64.22673393,27.72804668,36493,765;762;925;578;630;785;791
208,Kalajoki,Kalajoki,17,64.26043036,23.94915608,12412,217;272;746;009;977;483;625
211,Kangasala,Kangasala,6,61.46320057,24.06716505,32622,576;291;908;635;837;418;562
213,Kangasniemi,Kangasniemi,10,61.98864447,26.64247306,5230,172;097;491;850;077;593
214,Kankaanpää,Kankaanpää,4,61.80335769,22.39516256,12662,143;151;181;230;232;581;608;609;747;790
216,Kannonkoski,Kannonkoski,13,62.97657348,25.26343062,1311,226;265;992;729;931
217,Kannus,Kannus,16,63.90174541,23.91505422,5390,272;849;746;208
218,Karijoki,Bötom,14,62.30841756,21.70489853,1192,287;151;232;846
224,Karkkila,Högfors,1,60.53493458,24.20821133,8717,433;834;927;444
226,Karstula,Karstula,13,62.87660386,24.80050482,3774,759;312;265;729;216
230,Karvia,Karvia,4,62.13853613,22.56256014,2290,214;301;232;581
231,Kaskinen,Kaskö,15,62.38287189,21.22539234,1289,545
232,Kauhajoki,Kauhajoki,14,62.42508816,22.17724388,12890,151;214;301;218;230;846
233,Kauhava,Kauhava,14,63.10092001,23.06524437,15312,893;152;599;408;403;052;743;946
235,Kauniainen,Grankulla,1,60.21064047,24.7277527,10396,049
236,Kaustinen,Kaustby,16,63.54809065,23.69987851,4196,272;924;074;288
239,Keitele,Keitele,11,63.17958918,26.34994913,2095,601;931;921;595;844
240,Kemi,Kemi,19,65.73363545,24.56341556,19982,751;851;241
320,Kemijärvi,Kemijärvi,19,66.71501852,27.43057753,7105,614;732;583;698
241,Keminmaa,Keminmaa,19,65.79898136,24.54262919,7904,751;845;851;240
322,Kemiönsaari,Kimitoön,2,60.16384526,22.72893426,6614,078;738;734;445;710
244,Kempele,Kempele,17,64.91267217,25.50995188,19116,564;859;425
245,Kerava,Kervo,1,60.40486879,25.10354872,37232,753;858;092
249,Keuruu,Keuru,13,62.26020888,24.70644834,9443,989;495;182;936;592;508
250,Kihniö,Kihniö,6,62.20317632,23.177811,1808,301;581;936;980;743
256,Kinnula,Kinnula,13,63.36727118,24.9699576,1581,584;601;691;265;421;931
257,Kirkkonummi,Kyrkslätt,1,60.12065796,24.43891308,40433,149;049;927;755
260,Kitee,Kides,12,62.09669051,30.14538629,9877,580;740;707;848
261,Kittilä,Kittilä,19,67.65312786,24.91143746,6523,758;148;273;498;698;047
263,Kiuruvesi,Kiuruvesi,11,63.65146211,26.62248991,7759,626;595;140;925;630
265,Kivijärvi,Kivijärvi,13,63.12292486,25.07096807,1088,226;312;584;256;931;216
271,Kokemäki,Kumo,4,61.25613635,22.35045919,6951,886;050;783;079;102;790
272,Kokkola,Karleby,16,63.83758306,23.13196166,47909,217;440;421;074;236;849;208;288
273,Kolari,Kolari,19,67.33171829,23.78897403,3989,854;261;498;698
275,Konnevesi,Konnevesi,13,62.62733411,26.28945725,2586,077;686;410;992;921
276,Kontiolahti,Kontiolax,12,62.76646537,29.8444078,15035,426;176;607;422;167
280,Korsnäs,Korsnäs,15,62.7850523,21.18872803,2050,475;545
284,Koski Tl,Koskis,2,60.65298194,23.13736739,2271,761;636;734;430;480
285,Kotka,Kotka,8,60.4655208,26.94115263,51241,624;286;075
286,Kouvola,Kouvola,8,60.86682521,26.70559815,80454,434;407;142;624;285;111;507;739;441;075
287,Kristiinankaupunki,Kristinestad,15,62.27474215,21.37854708,6380,484;151;218;545;846
288,Kruunupyy,Kronoby,15,63.72781773,23.03377186,6442,272;599;440;052;924;236
290,Kuhmo,Kuhmo,18,64.12528863,29.52436755,7928,765;541;777;697;105;422
291,Kuhmoinen,Kuhmois,6,61.56242598,25.17566561,2158,435;781;576;182;211;562
295,Kumlinge,Kumlinge,21,60.25969248,20.77831317,313,766;941;736;035
297,Kuopio,Kuopio,11,62.89298292,27.68893474,121543,778;420;857;595;687;297;140;844;402;749
300,Kuortane,Kuortane,14,62.80741062,23.50639308,3528,005;010;408;743
301,Kurikka,Kurikka,14,62.61889395,22.39877371,20197,399;145;475;230;232;581;250;743;545;846
304,Kustavi,Gustavs,2,60.5467147,21.35888164,971,035;895;833;529;445
305,Kuusamo,Kuusamo,17,65.96442492,29.18861606,15165,777;832;614;732
312,Kyyjärvi,Kyyjärvi,13,63.04341099,24.56643731,1232,759;226;005;584;265
316,Kärkölä,Kärkölä,7,60.86837648,25.27337711,4245,505;086;560;098
317,Kärsämäki,Kärsämäki,17,63.98058707,25.75966745,2533,626;071;630;069;791
318,Kökar,Kökar,21,59.92027831,20.90837276,224,766;062;445
398,Lahti,Lahtis,7,60.98038056,25.65498796,120027,560;098;142;111;016
399,Laihia,Laihela,15,62.97795671,22.01117311,7916,499;145;301;475;152;905
400,Laitila,Letala,2,60.87586035,21.69023338,8456,895;918;684;631;503;050
407,Lapinjärvi,Lappträsk,1,60.62436343,26.20140546,2580,434;560;142;504;286
402,Lapinlahti,Lapinlahti,11,63.36451775,27.38741548,9247,687;762;140;749;297
